,,REGION,PROVINCE,CITY/ MUNICIPALITY,"BLDG OR HOUSE NO., STREET, BRGY (as applicable)",NAME OF FACILITY,OWNERSHIP,OWNERSHIP CLASS,CLASS,SERVCE CAPABILITY,ABC,CONTACT NOS.,E-MAIL ADDRESS,VALIDITY FROM,VALIDITY UNTIL
,431,REGION 5,Catanduanes,Virac,"E. Rafael St., Rawis, Virac, Catanduanes","IMMACULATE HEART OF MARY HOSPITAL, INC.",Private,N/A,General,Level 2,36,"09327100514/
09686253636",ihmh_2017@yahoo.com,1/1/2025,12/31/2025
,432,REGION 5,Masbate,Masbate City,"Sitio Pulangbato, Brgy. Kinamaligan, Masbate City","DIOCESAN MEDICAL FOUNDATION OF SAN ANTONIO DE PADUA, INC",Private,N/A,General,Level 1,43,565880739,dmfsapinc@gmail.com,1/1/2025,12/31/2025
,433,REGION 5,Sorsogon,Cabid-an,"Diversion Road, Cabid-An, Sorsogon City","METRO HEALTH SPECIALISTS HOSPITAL, INC.",Private,N/A,General,Level 2,100,9190750421,metrohealthshi@yahoo.com,1/1/2025,12/31/2025
,434,REGION 5,Sorsogon,Pangpang,"Pangpang, Sorsogon City",SORSOGON MEDICAL MISSION GROUP HOSPITAL AND HEALTH SERVICES COOPERATIVE,Private,N/A,General,Level 2,100,9154798094,sorsogonmmg@yahoo.com,1/1/2025,12/31/2025
,435,REGION 5,Sorsogon,Sorsogon City,"3852 Rizal St., Piot, Sorsogon City",CHACON GENERAL HOSPITAL,Private,N/A,General,Level 1,18,9665044870,chacongeneralhospital@gmail.com,1/1/2025,12/31/2025
,436,REGION 5,Sorsogon,Sorsogon City,"P5 Road Balogo, Sorsogon City, Sorsogon","GSAC GENERAL HOSPITAL, INC.",Private,N/A,General,Level 1,23,0970-117-2258,gghimedicaldirector@gmail.com,1/1/2025,12/31/2025
,437,REGION 6,Aklan,Kalibo,Brgy. Andagao,AKLAN COOPERATIVE MISSION HOSPITAL,Private,N/A,General,Level 1,50,036-268-3855-56,ampc_acmh@yahoo.com,1/1/2025,12/31/2025
,438,REGION 6,Aklan,Kalibo,"Judge Martelino Ave., Andagao","ASIA PACIFIC MEDICAL CENTER (APMC) - AKLAN, INC.",Private,N/A,General,Level 2,150,9171649116,officeofthemedicaldirector@apmcaklan.com,1/1/2025,12/31/2025
,439,REGION 6,Aklan,Kalibo,Brgy. Estancia,PANAY HEALTH CARE MULTI-PURPOSE COOPERATIVE,Private,N/A,General,Level 2,74,"036-268-3475, 268-3486",phcmpc@yahoo.com,1/1/2025,12/31/2025
,440,REGION 6,Aklan,Kalibo,"Arch. G. M. Reyes, Barangay Poblacion","SAINT GABRIEL MEDICAL CENTER, INC.",Private,N/A,General,Level 2,120,036-268-3710,stgabmedicalcenter@yahoo.com,1/1/2025,12/31/2025
,441,REGION 6,Aklan,Kalibo,"1377 F. Quimpo Street, Brgy. Poblacion","SAINT JUDE'S HOSPITAL, INC.",Private,N/A,General,Level 1,25,036-262-3290,stjudehospital_kalibo@yahoo.com,1/1/2025,12/31/2025
,442,REGION 6,Antique,San Jose de Buenavista,Brgy. San Angel,"ANTIQUE MEDICAL CENTER, INC.",Private,N/A,General,Level 2,100,036-540-8766,antiquemedical@gmail.com,1/1/2025,12/31/2025
,443,REGION 6,Capiz,Roxas City,"Brgy. Lawaan, First District",CAPIZ DOCTORS' HOSPITAL,Private,N/A,General,Level 2,94,"036-6215-675, 6215-673","cdhospital@gmail.com,cdhospital1997@yahoo.com",1/1/2025,12/31/2025
,444,REGION 6,Capiz,Roxas City,Roxas Avenue,"CAPIZ EMMANUEL HOSPITAL, INC.",Private,N/A,General,Level 2,100,036-6214-761,ceh_inc@yahoo.com,1/1/2025,12/31/2025
,445,REGION 6,Capiz,Roxas City,"San Roque Extension, Brgy. VIII",ST. ANTHONY COLLEGE HOSPITAL,Private,N/A,General,Level 2,110,"036-6210-434, 6210-431",sacroxas2015@gmail.com,1/1/2025,12/31/2025
,446,REGION 6,Capiz,Roxas City,"Teodorica Avenue, Banica","THE HEALTH CENTRUM, INC.",Private,N/A,General,Level 2,20,"036-6201-023, 6219-088",ad.thehealthcentrum@gmail.com,1/1/2025,12/31/2025
,447,REGION 6,Guimaras,Jordan,Brgy. San Miguel,"GUIMARAS SPECIALIST MEDICAL CENTER, INC.",Private,N/A,General,Level 2,50,9498868020,gsmciguimaras@gmail.com,1/1/2025,12/31/2025
,448,REGION 6,Iloilo,Iloilo City,"Brgy. Ungka, Jaro","ASIA PACIFIC MEDICAL CENTER - ILOILO, INC.",Private,N/A,General,Level 2,100,339-9991,customercare@apmc-iloilo.com,1/1/2025,12/31/2025
,449,REGION 6,Iloilo,Iloilo City,"Ayala Atria Park District, Don Donato Pison Ave., Brgy. San Rafael, Mandurriao",HEALTHWAY QUALIMED HOSPITAL ILOILO,Private,N/A,General,Level 2,100,033-500-4000,qualimed.ilo@qualimed.com.ph,1/1/2025,12/31/2025
,450,REGION 6,Iloilo,Iloilo City,"West Avenue, Taal, Molo, Iloilo , City","ILOILO DOCTORS HOSPITAL, INCORPORATED",Private,N/A,General,Level 3,200,63333377702,iloilodoctorshospital.adm@gmail.com,1/1/2025,12/31/2025
,451,REGION 6,Iloilo,Iloilo City,"Mission Road, Jaro, Iloilo City, Iloilo","ILOILO MISSION HOSPITAL, INC.",Private,N/A,General,Level 3,261,. 320-03-15 to 19 Loc. 5039,admnoffice.imh1901@gmail.com,1/1/2025,12/31/2025
,452,REGION 6,Iloilo,Iloilo City,"R.V. Bernardo Avenue, Brgy. San Rafael, Mandurriao",MEDICUS MEDICAL CENTER,Private,N/A,General,Level 2,60,328-7777,ohd@medicusmedicalcenter.com,1/1/2025,12/31/2025
,453,REGION 6,Iloilo,Iloilo City,"Metropolis Avenue, Tagbak, Jaro","METRO ILOILO HOSPITAL AND MEDICAL CENTER, INC.",Private,N/A,General,Level 2,110,327-1527,mihmci.iloilo@gmail.com,1/1/2025,12/31/2025
,454,REGION 6,Iloilo,Iloilo City,"Oñate Street, Brgy. Oñate De Leon, Mandurriao",SEAMEN'S HOSPITAL - ILOILO,Private,N/A,General,Level 2,43,033-397-2254,shosp_ilo@yahoo.com,1/1/2025,12/31/2025
,455,REGION 6,Iloilo,Iloilo City,"General Luna Street, Brgy. Danao,Iloilo City",ST. PAUL'S HOSPITAL OF ILOILO INC.,Private,N/A,General,Level 3,180,(033) 337 2742,sphiloilo@gmail.com,1/1/2025,12/31/2025
,456,REGION 6,Iloilo,Iloilo City,"Locsin Street, Brgy. Tap-oc, Molo,",THE MEDICAL CITY ILOILO HOSPITAL INC.,Private,N/A,General,Level 2,122,033-500-1000,info@themedicalcityiloilo.com,1/1/2025,12/31/2025
,457,REGION 6,Iloilo,Pavia,"Felix Gorriceta Ave., Balabag, 2nd District, Pavia Iloilo",HOLY MARY GENERAL HOSPITAL,Private,N/A,General,Level 1,30,328-2692,hmwch2@yahoo.com,1/1/2025,12/31/2025
,458,REGION 7,Bohol,Jagna,"Canjulao, Jagna, Bohol",LIM COMMUNITY HOSPITAL,Private,N/A,General,Level 1,25,(038) 238-2308: 0939-862-3598,lch_jagnabohol@yahoo.com,1/1/2025,12/31/2025
,459,REGION 7,Bohol,Tagbilaran City,"0368 CPG East Avenue, Tagbilaran City, Bohol","ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-BOHOL, INC.",Private,N/A,General,Level 2,100,(038) 412-8888 loc. 814; 0917-586-9838,admin@acemcbohol.com; info@acemcbohol.com,1/1/2025,12/31/2025
,460,REGION 7,Bohol,Tagbilaran City,"2049-D Tagbilaran East Road, Bool District Tagbilaran City, Bohol",CDG BOHOL DOCTORS HOSPITAL INCORPORATED,Private,N/A,General,Level 1,50,(+63) 9985819628,acrodriguez.cdg@gmail.com; bdhbusinessoffice123@gmail.com;,1/1/2025,12/31/2025
,461,REGION 7,Bohol,Tagbilaran City,"0476 HNU Campus, JA Clarin Street, Dampas, Tagbilaran City, Bohol","HOLY NAME UNIVERSITY MEDICAL CENTER, INC.",Private,N/A,General,Level 2,70,"(038) 412-0912
09474885249",hnumedicalcenterinc@gmail.com,1/1/2025,12/31/2025
,462,REGION 7,Bohol,Tagbilaran City,"Binayran Road, Dampas District, Tagbilaran City, Bohol",MEDICAL MISSION GROUP HOSPITAL & HEALTH SERVICES COOPERATIVE (BOHOL COOPERATIVE HOSPITAL),Private,N/A,General,Level 1,50,(038) 411-0411 to 0414; 0917-304-0430,mmgbohol@yahoo.com,1/1/2025,12/31/2025
,463,REGION 7,Bohol,Tagbilaran City,"0139 C. Gallares St., Poblacion II, Tagbilaran City, Bohol",RAMIRO COMMUNITY HOSPITAL,Private,N/A,General,Level 2,118,(038) 411-3515; 501-9646,info@aramiromedical.ph,1/1/2025,12/31/2025
,464,REGION 7,Bohol,Tagbilaran City,"0117 M. Parras St., Poblacion III, Tagbilaran City, Bohol",TAGBILARAN COMMUNITY HOSPITAL CORPORATION,Private,N/A,General,Level 2,58,(038) 411-3324,tagbcommhospital@gmail.com,1/1/2025,12/31/2025
,465,REGION 7,Bohol,Valencia,"Canmanico, Valencia, Bohol",CONCEPCION MEMORAL HOSPITAL,Private,N/A,General,Level 1,30,(038) 532-1252; 0948-000-1351,leonalim@gmail.com; concepcionmemorial@gmail.com,1/1/2025,12/31/2025
,466,REGION 7,Bohol,Valencia,"Poblacion Occidental, Valencia, Bohol",DR. LIM'S CLINIC AND HOSPITAL,Private,N/A,General,Level 1,35,(038) 532-1069,dlchlim@yahoo.com,1/1/2025,12/31/2025
,467,REGION 7,Cebu,Cebu City,"400 Tres de Abril St., San Nicolas, Cebu City, Cebu","ADVENTIST HOSPITAL - CEBU, INC.",Private,N/A,General,Level 2,100,(032) 261 2100 loc. 103; (032) 261-1111 (fax),adventisthospitalcebu@gmail.com,1/1/2025,12/31/2025
,468,REGION 7,Cebu,Cebu City,"982 N. Bacalso Ave., Basak, Pardo, Cebu City, Cebu",ALLIED CARE EXPERTS (ACE) MEDICAL CENTER CEBU INC.,Private,N/A,General,Level 2,70,(032) 383-3454,adminofficer@acemedicalcentercebu.com,1/1/2025,12/31/2025
,469,REGION 7,Cebu,Cebu City,"41 F. Ramos St., Brgy., Cogon, Cebu City, Cebu","CEBU (VELEZ) GENERAL HOSPITAL, INC.",Private,N/A,General,Level 3,200,(032) 253-1871,velezgroup@gmail.com; compliance@velezhospital.com,1/1/2025,12/31/2025
,470,REGION 7,Cebu,Cebu City,"Cebu Doctors' University Bldg., Osmeña Blvd., Capitol Site, Cebu City, Cebu","CEBU DOCTORS' UNIVERSITY HOSPITAL, INC.",Private,UNIVERSITY/SCHOOL,General,Level 3,300,(032) 253-7511,pvl_cduh@yahoo.com,1/1/2025,12/31/2025
,471,REGION 7,Cebu,Cebu City,"Kauswagan Rd., Talamban, Cebu City, Cebu","CEBU NORTH GENERAL HOSPITAL, INC.",Private,N/A,General,Level 2,150,(032) 343-7777; (032) 343-7240 (fax),cngh.adsecretary@gmail.com; nracaso.cdg@gmail.com,1/1/2025,12/31/2025
,472,REGION 7,Cebu,Cebu City,"#2 B. Rooodriguez St.., Sambag 2, Cebu City, Cebu","CEBU PUERICULTURE CENTER AND MATERNITY HOUSE, INC.",Private,N/A,Specialty,Level 2,50,(032) 254-9731,cebupuericulture@yahoo.com,1/1/2025,12/31/2025
,473,REGION 7,Cebu,Cebu City,"Don Mariano Cui, cor. J. Llorente St., Cebu City, Cebu",CHONG HUA HOSPITAL,Private,N/A,General,Level 3,660,(032) 255-8000,info@chonghua.com.ph,1/1/2025,12/31/2025
,474,REGION 7,Cebu,Cebu City,"Gorordo Avenue, Kamputhaw, Cebu City, Cebu","PERPETUAL SUCCOUR HOSPITAL OF CEBU, INC.",Private,N/A,General,Level 3,372,(032) 233-860; 2340412,pshad2016@gmail.com,1/1/2025,12/31/2025
,475,REGION 7,Cebu,Cebu City,"Southwestern University, Urgello St., Sambag 2, Cebu City, Cebu",SOUTHWESTERN UNIVERSITY MEDICAL CENTER,Private,UNIVERSITY/SCHOOL,General,Level 3,115,(032) 418-8409 to 15,cccabahug.shh@swu.edu.ph; admins.swumed@swu.phinma.edu.ph,1/1/2025,12/31/2025
,476,REGION 7,Cebu,Cebu City,"210-D R. Landon St., Brgy. Sambag I, Cebu City, Cebu","ST. VINCENT GENERAL HOSPITAL CEBU, INC.",Private,N/A,General,Level 2,110,"(032) 238-0000; 238-6870;
0998-9656010",admin@svgh.ph; svgh@gmail.com; cqi.svgh@gmail.com,1/1/2025,12/31/2025
,477,REGION 7,Cebu,Cebu City,"85 Osmeña Boulevard, Brgy. Santa Cruz, Cebu City, Cebu",VISAYAS MED-CEBU,Private,N/A,General,Level 3,200,(032) 253-3848; 253-1901; 253-3025,admin@visayasmedcebu.com.ph,1/1/2025,12/31/2025
,478,REGION 7,Cebu,Consolacion,"A. Tan St., Brgy. Pitogo, Consolacion, Cebu","MENDERO MEDICAL CENTER, INC.",Private,N/A,General,Level 2,110,(032) 236-0091; 2397151 to 54,menderosec@gmail.com; mendero.nso@gmail.com; menderomed@gmail.com,1/1/2025,12/31/2025
,479,REGION 7,Cebu,Lapu-Lapu City,"Sitio Malinao, Brgy. Agus, Lapu-Lapu City, Cebu",ALLEGIANT REGIONAL CARE HOSPITALS,Private,N/A,General,Level 2,70,(032) 493-4848; (032) 260-9189,info@archospitals.com.ph,1/1/2025,12/31/2025
,480,REGION 7,Cebu,Lapu-Lapu City,"MDHI Bldg., Maximo V. Patalinghug Ave., Basak, Lapu-Lapu City, Cebu","MACTAN DOCTORS' HOSPITAL, INC.",Private,N/A,General,Level 2,110,(032) 236-0000;,mactan_doctors@yahoo.com.ph,1/1/2025,12/31/2025
,481,REGION 7,Cebu,Mandaue City,"Camino Vicinal St., Umapad, Mandaue City, Cebu",AMOSUP SEAMEN'S HOSPITAL - CEBU,Private,N/A,General,Level 2,60,(032) 236-6871-72;,shs_cebu@yahoo.com.ph,1/1/2025,12/31/2025
,482,REGION 7,Cebu,Mandaue City,"Mantawi International Drive, City South Special Economic Adminstrative Zone (CSSEAZ), Mandaue City, Cebu",CHONG HUA HOSPITAL MANDAUE,Private,N/A,General,Level 3,350,(0320 233-8000,info@chonghua.com.ph,1/1/2025,12/31/2025
,483,REGION 7,Cebu,Mandaue City,"North Park UN Avenue cor. Plaridel St., Brgy. Alang-Alang, Mandaue City, Cebu",THE HOSPITAL AT MAAYO,Private,N/A,General,Level 2,115,(032) 888-2662; 0906-422-097,qmn@thehospitalatmaayo.com,1/1/2025,12/31/2025
,484,REGION 7,Cebu,Mandaue City,"Ouano Avenue, Guizo, City South Special Economic Adminisrative Zone, Mandaue City, Cebu","UNIVERSITY OF CEBU MEDICAL CENTER, INC.",Private,UNIVERSITY/SCHOOL,General,Level 3,260,(032) 517-0888,info@ucmed.ph,1/1/2025,12/31/2025
,485,REGION 7,Cebu,Medellin,"Luy-A, Medellin, Cebu",BOGO-MEDELLIN MEDICAL CENTER,Private,N/A,General,Level 1,15,(032) 436-2408; 0970-153-0553,bmmc_medellincebu@yahoo.com,1/1/2025,12/31/2025
,486,REGION 7,Cebu,Naga City,"National Highway, Tuyan, City of Naga, Cebu","CEBU SOUTH GENERAL HOSPITAL, INC.",Private,N/A,,Level 2,100,(032) 272-2223 local 222,sgh_naga@yahoo.com,1/1/2025,12/31/2025
,487,REGION 7,Cebu,Sibonga,"422 C. delos Cuentos St., Poblacion, Sibonga, Cebu",DEIPARINE COMMUNITY HOSPITAL,Private,N/A,General,Level 1,30,(032) 486-9253; 0917-632-4450,deiparine.community.hospital@gmail.com,1/1/2025,12/31/2025
,488,REGION 7,Cebu,Toledo CIty,"Brgy. Don Andres Soriano (DAS), Toledo City",CARMEN COPPER CORPORATION HOSPITAL,Private,N/A,General,Level 1,20,(032) 8881201/ 09173066783,rptecson@carmencopper.com,1/1/2025,12/31/2025
,489,REGION 8,Eastern Samar,Borongan City,"Real St., Brgy. Songco, Borongan, Eastern Samar",BORONGAN DOCTORS HOSPITAL,Private,N/A,General,Level 1,84,9952397013,borongan_doctors@yahoo.com,1/1/2025,12/31/2025
,490,REGION 8,Eastern Samar,Dolores,"431 Real, Brgy. 15, Dolores, Eastern Samar",CASANO'S HOSPITAL,Private,N/A,General,Level 1,50,9272630210,domingocasanohospital@gmail.com,1/1/2025,12/31/2025
,491,REGION 8,Eastern Samar,General MacArthur,"Barangay Domrog, Gen. MacArthur, Eastern Samar",GEN. MACARTHUR DOCTORS HOSPITAL,Private,N/A,General,Level 1,18,9777186162,mcarthurdoctorshospital2024@gmail.com,1/1/2025,12/31/2025
,492,REGION 8,Eastern Samar,Guiuan,"195 Lugay, Brgy. Poblacion Ward 8, Guiuan, Eastern Samar",IMMACULATE CONCEPTION AND HOSPITAL,Private,N/A,General,Level 1,20,9062161631,icch_1979@yahoo.com,1/1/2025,12/31/2025
,493,REGION 8,Eastern Samar,Guiuan,"National Road, Brgy. Cantahay, Guiuan, Eastern Samar",PONFERRADA POLYMEDIC HOSPITAL,Private,,,Level 1,23,9175117707,socorro_ponferrada@yahoo.com,1/1/2025,12/31/2025
,494,REGION 8,Eastern Samar,Guiuan,"Corner Loyda And Guimbalibot St., Brgy.Salug, Guiuan, Eastern Samar",ST. JUDE HOSPITAL,Private,N/A,General,Level 1,42,9468303060,st.judehospitalphilhealth2018@yahoo.com,1/1/2025,12/31/2025
,495,REGION 8,Eastern Samar,Oras,"National Road, Brgy. Tawagan, Oras, Eastern Samar",ORAS DOCTORS HOSPITAL,Private,N/A,General,Level 1,50,9273084291,orasdoctorshospital@gmail.com,1/1/2025,12/31/2025
,496,REGION 8,Eastern Samar,Salcedo,"Brgy. 13 National Highway, Salcedo, Eastern Samar",SALCEDO DOCTORS HOSPITAL,Private,N/A,General,Level 1,20,9224458789,salcedodoctorshospital@gmail.com,1/1/2025,12/31/2025
,497,REGION 8,Leyte,Hilongos,"R.V. Fulache St., Brgy. Eastern, Hilongos, Leyte","LEYTE BAPTIST HOSPITAL, INCORPORATED",Private,N/A,General,Level 1,30,9531081887,lbhi_74@yahoo.com.ph,1/1/2025,12/31/2025
,498,REGION 8,Leyte,Ormoc City,"Kangleon St., District 20, Ormoc City",GATCHALIAN MEDICAL CENTER,Private,N/A,General,Level 1,75,9089256805,gatchalianhospital@yahoo.com,1/1/2025,12/31/2025
,499,REGION 8,Leyte,Ormoc City,"C. Aviles Cor. San Pablo St, Brgy. South, Ormoc City, Leyte","ORMOC DOCTORS HOSPITAL, INC.",Private,N/A,,Level 2,100,9647376557,divine4372@yahoo.com,1/1/2025,12/31/2025
,500,REGION 8,Leyte,Ormoc City,"Can-Adieng, Ormoc City, Leyte",OSPA-FARMERS’ MEDICAL CENTER,Private,N/A,,Level 2,100,9173084403,ospafmc@gmail.com,1/1/2025,12/31/2025
,501,REGION 8,Leyte,Tacloban City,"Barangay 78, Marasbaras, Tacloban City",ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-TACLOBAN INC.,Private,N/A,,Level 2,100,9664798711,acemctac.admoff@gmail.com,1/1/2025,12/31/2025
,502,REGION 8,Leyte,Tacloban City,"Brgy. 44 A Avenida Veteranos, Tacloban City",DIVINE WORD HOSPITAL,Private,N/A,General,Level 3,179,(053) 523 7419,divinewordhospitaltacloban@gmail.com,1/1/2025,12/31/2025
,503,REGION 8,Leyte,Tacloban City,"Calanipawan Road, Brgy. 96, 1St District, Tacloban City, Leyte",DOÑA REMEDIOS TRINIDAD-ROMUALDEZ MEDICAL EDUCATIONAL FOUNDATION HOSPITAL,Private,N/A,,Level 2,100,9173217352,rtrnursingservice@gmail.com,1/1/2025,12/31/2025
,504,REGION 8,Leyte,Tacloban City,"Benigno Ave., Brgy. 50-B Youngfield, Tacloban City, Leyte",MOTHER OF MERCY HOSPITAL-TACLOBAN INC.,Private,N/A,,Level 2,50,9778501781,mmh.rsm@gmail.com,1/1/2025,12/31/2025
,505,REGION 8,Leyte,Tacloban City,"Brgy. 54, Real Street, Tacloban City",UNITED SHALOM HOSPITAL,Private,N/A,General,Level 1,50,9993230708,unitedshalomhospitalhrd@gmail.com,1/1/2025,12/31/2025
,506,REGION 8,Northern Samar,Catarman,"Diversion Road Ii, Brgy. Bangkerohan, Catarman, Northern Samar","CATARMAN DOCTORS HOSPITAL, INC",Private,N/A,General,Level 1,41,9998796338,CDHI_catarman@yahoo.com,1/1/2025,12/31/2025
,507,REGION 8,Northern Samar,Gamay,"Brgy. Central, Gamay, Northern Samar",GAMAY DOCTORS HOSPITAL,Private,N/A,General,Level 1,25,9777186162,gamaydoctorshospital2019@gmail.com,1/1/2025,12/31/2025
,508,REGION 8,Northern Samar,Pambujan,"Cawayan St., Brgy. Cababtoan, Pambujan, Northern Samar","ST. SCHOLASTICA'S HOSPITAL, INC.",Private,N/A,General,Level 1,10,9817409213,stscholasticashospital@gmail.com / amadeadonadilla@gmail.com,1/1/2025,12/31/2025
,509,REGION 8,Samar,Calbayog City,"Km 730 Daang Maharlika, Brgy. San Policarpo, Calbayog City",ADVENTIST HOSPITAL - CALBAYOG INC.,Private,N/A,General,Level 1,15,9165112423,adventisthospitalcyp@gmail.com,1/1/2025,12/31/2025
,510,REGION 8,Samar,Calbayog City,"Maharlika Highway, Brgy. Trinidad, Calbayog City",ST. CAMILLUS HOSPITAL,Private,N/A,General,Level 1,50,9178889986,schcalbayog@yahoo.com,1/1/2025,12/31/2025
,511,REGION 8,Samar,Catbalogan City,"Diversion Road, Brgy. Canlapwas, Catbalogan City",CATBALOGAN DOCTORS HOSPITAL,Private,N/A,General,Level 1,100,0936-982-4272,catbalogandoctorshospital@gmail.com,1/1/2025,12/31/2025
,512,REGION 8,Southern Leyte,Maasin City,"Brgy. Isagani, Maasin, Southern Leyte","LIVINGHOPE HOSPITAL, INC.",Private,N/A,General,Level 1,50,570-9880,livinghopehospital.ph@gmail.com,1/1/2025,12/31/2025
,513,REGION 8,Southern Leyte,Maasin City,"R. Kangleon St., Brgy. Abgao, Maasin City",MAASIN MEDCITY HOSPITAL,Private,N/A,General,Level 1,22,9177067075,maasinmedcity@gmail.com,1/1/2025,12/31/2025
,514,REGION 8,Southern Leyte,Sogod,"Veloso St., Brgy. Rizal, Sogod, Southern Leyte",CHRIST THE HEALER HOSPITAL,Private,N/A,General,Level 1,30,9455217141,cthsogod@gmail.com,1/1/2025,12/31/2025
,515,REGION 8,Southern Leyte,Sogod,"Osmeña Street, Zone 2, Sogod, Southern Leyte","CONSUELO K. TAN MEMORIAL MEDICAL CENTER, INC.",Private,N/A,General,Level 1,30,9173061822,consuelotanhospital@gmail.com,1/1/2025,12/31/2025
,516,REGION 8,Southern Leyte,Sogod,"Leopoldo Regis St., Zone V, Sogod, Southern Leyte",CORROMPIDO GENERAL HOSPITAL,Private,N/A,General,Level 1,30,9691377189,cgh.ad1973@gmail.com,1/1/2025,12/31/2025
,517,REGION 9,Basilan,Isabela City,"C.P. Garcia St., Sta. Cruz",INFANTE HOSPITAL MANAGEMENT CORPORATION,Private,N/A,General,Level 1,46,0917-7043022,infantehospital@yahoo.com,1/1/2025,12/31/2025
,518,REGION 9,Basilan,Isabela City,"Rizal Ave., Aguada",ISABELA CITY COMMUNITY HOSPITAL,Private,N/A,General,Level 1,12,0917-3097801,bascom_inc@yahoo.com,1/1/2025,12/31/2025
,519,REGION 9,Basilan,Isabela City,Rizal Ave.,JUAN S. ALANO MEMORIAL HOSPITAL,Private,N/A,General,Level 1,25,0917-8243287,alanohospital@yahoo.com.ph,1/1/2025,12/31/2025
,520,REGION 9,Zamboanga del Norte,Dipolog City,"Purok Morning Star, National Highway Olingan","ALLIED CARE EXPERTS (ACE) MEDICAL CENTER DIPOLOG, INC.",Private,,,Level 2,35,9759311016,acem.dipolog@gmail.com,1/1/2025,12/31/2025
,521,REGION 9,Zamboanga del Norte,Dipolog City,Turno,MMGHHSCP COOPERATIVE HOSPITAL,Private,N/A,General,Level 1,35,0947-407-4455,zncoophospital1996@gmail.com,1/1/2025,12/31/2025
,522,REGION 9,Zamboanga del Norte,Dipolog City,604 Padre Ramon St.,"OSPITAL NG KABATAAN NG DIPOLOG, INC.",Private,N/A,General,Level 1,26,0977-6448300,okdimedrec@gmail.com,1/1/2025,12/31/2025
,523,REGION 9,Zamboanga del Sur,Molave,Blancia,BLANCIA HOSPITAL,Private,N/A,General,Level 1,15,9488451948 / (062) 225-2302,blanciahospital@gmail.com,1/1/2025,12/31/2025
,524,REGION 9,Zamboanga del Sur,Molave,Poblacion,SALUG VALLEY MEDICAL CENTER,Private,N/A,General,Level 1,35,062-225-1427,svmc.molave@gmail.com,1/1/2025,12/31/2025
,525,REGION 9,Zamboanga del Sur,Pagadian City,San Pedro District,AISAH MEDICAL HOSPITAL,Private,N/A,General,Level 1,123,9816880838,aisahmedhosp@gmail.com,1/1/2025,12/31/2025
,526,REGION 9,Zamboanga del Sur,Pagadian City,F.S. Pajares St.,HOFILEÑA HOSPITAL,Private,N/A,General,Level 1,50,0933-852-8483,hofilena.hospital@yahoo.com,1/1/2025,12/31/2025
,527,REGION 9,Zamboanga del Sur,Pagadian City,San Pedro District,J. CABAHUG HOSPITAL,Private,N/A,General,Level 1,25,0943-5527793,jcabahug_hospital@yahoo.com,1/1/2025,12/31/2025
,528,REGION 9,Zamboanga del Sur,Pagadian City,"Bagong Silang, Balangasan",JAMELARIN HOSPITAL,Private,N/A,General,Level 1,12,0917-7144904,nso2018.jh@gmail.com,1/1/2025,12/31/2025
,529,REGION 9,Zamboanga del Sur,Pagadian City,"Cabrera St., San Francisco District",MENDERO MEDICAL CENTER PAGADIAN CITY CORPORATION,Private,,General,Level 2,60,,mmc.pagadian@menderogroup.com,1/1/2025,12/31/2025
,530,REGION 9,Zamboanga del Sur,Pagadian City,V. Sagun St. Lumbia District,"METRO PAGADIAN SPECIALIST HOSPITAL, INC.",Private,,General,Level 1,19,0950-8525906,mpshi.privhosp@gmail.com,1/1/2025,12/31/2025
,531,REGION 9,Zamboanga del Sur,Pagadian City,"Rizal Ave., Lumbia District,",PAGADIAN DOCTORS HOSPITAL,Private,N/A,General,Level 1,30,0969-1451098,Pagdoc_Records@hotmail.com,1/1/2025,12/31/2025
,532,REGION 9,Zamboanga del Sur,Zamboanga City,R.T. Lim Blvd.,"BRENT COLLEGES & HOSPITAL, INC.",Private,N/A,General,Level 2,100,0917-7102909,nsobrent@yahoo.com,1/1/2025,12/31/2025
,533,REGION 9,Zamboanga del Sur,Zamboanga City,Mayor Vitaliano Agan Ave.,CIUDAD MEDICAL ZAMBOANGA,Private,N/A,General,Level 2,131,0917-622-7867,admin@ciudadmedicalzamboanga.com.ph,1/1/2025,12/31/2025
,534,REGION 9,Zamboanga del Sur,Zamboanga City,"Pilar St. Corner Cervantes St., Barangay Zone 4","HOSPITAL DE ZAMBOANGA, INC.",Private,N/A,General,Level 1,23,0917-6304615,hospitaldezamboanga@yahoo.com,1/1/2025,12/31/2025
,535,REGION 9,Zamboanga del Sur,Zamboanga City,Veterans Ave. Ext.,WEST METRO MEDICAL CENTER,Private,N/A,General,Level 2,110,0998-5732748,wmmcnso@gmail.com,1/1/2025,12/31/2025
,536,REGION 9,Zamboanga del Sur,Zamboanga City,Veterans Ave.,"ZAMBOANGA DOCTORS HOSPITAL, INC.",Private,N/A,General,Level 2,148,0917-7113177 / 09166815801,zdhicon@gmail.com,1/1/2025,12/31/2025
,537,REGION 9,Zamboanga del Sur,Zamboanga City,Putik,ZAMBOANGA PENINSULA MEDICAL CENTER,Private,N/A,General,Level 2,140,0917-7245880,zpmclaboratory@gmail.com,1/1/2025,12/31/2025
